
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:63545        127.0.0.1:63556        ESTABLISHED     29308
  TCP    127.0.0.1:63546        127.0.0.1:63532        ESTABLISHED     29308
  TCP    127.0.0.1:63549        127.0.0.1:63535        ESTABLISHED     3324
  TCP    127.0.0.1:63553        127.0.0.1:63535        ESTABLISHED     3292
  TCP    127.0.0.1:63556        127.0.0.1:63545        ESTABLISHED     3324
  TCP    127.0.0.1:63576        127.0.0.1:63532        ESTABLISHED     29308
  TCP    127.0.0.1:63646        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:63647        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:63648        127.0.0.1:18618        ESTABLISHED     4008
  TCP    127.0.0.1:63649        127.0.0.1:18618        ESTABLISHED     4736
  TCP    127.0.0.1:63651        127.0.0.1:18618        ESTABLISHED     8388
  TCP    127.0.0.1:63652        127.0.0.1:18618        ESTABLISHED     23228
  TCP    127.0.0.1:63926        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:63927        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:63928        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:63936        127.0.0.1:63532        ESTABLISHED     29308
  TCP    127.0.0.1:63937        127.0.0.1:63532        ESTABLISHED     29308
  TCP    127.0.0.1:64130        127.0.0.1:3002         ESTABLISHED     18472
  TCP    127.0.0.1:64233        127.0.0.1:9222         ESTABLISHED     2572
  TCP    127.0.0.1:64428        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:64430        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:64862        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:64863        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:64864        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:65156        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:65418        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:65421        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:65422        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:65431        127.0.0.1:63532        ESTABLISHED     29308
  TCP    192.168.178.152:139    0.0.0.0:0              LISTENING       4
  TCP    192.168.178.152:49155  192.168.178.1:53       TIME_WAIT       0
  TCP    192.168.178.152:49162  34.54.84.110:443       ESTABLISHED     29308
  TCP    192.168.178.152:49171  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:49413  172.211.123.248:443    ESTABLISHED     5280
  TCP    192.168.178.152:50242  192.168.178.169:8009   ESTABLISHED     19596
  TCP    192.168.178.152:50800  108.177.119.188:5228   ESTABLISHED     10624
  TCP    192.168.178.152:51381  138.201.94.34:443      ESTABLISHED     19596
  TCP    192.168.178.152:52247  192.168.178.1:53       TIME_WAIT       0
  TCP    192.168.178.152:52874  142.250.145.188:5228   ESTABLISHED     19596
  TCP    192.168.178.152:53173  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:53174  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:53175  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:53176  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:53177  142.251.142.33:443     TIME_WAIT       0
  TCP    192.168.178.152:53184  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:53346  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.178.152:53353  172.217.19.74:443      TIME_WAIT       0
  TCP    192.168.178.152:53621  216.239.32.223:443     ESTABLISHED     29308
  TCP    192.168.178.152:53704  18.196.47.216:443      ESTABLISHED     19596
  TCP    192.168.178.152:54333  192.168.178.169:8009   ESTABLISHED     10624
  TCP    192.168.178.152:54334  192.168.178.169:8009   ESTABLISHED     13080
